OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
2007,,,Guénette (Sans désignation officiel),,1.3087119108012224,Ville de Montréal,Saint-Laurent,Arrondissement,Espace voirie,Bande gazonnée
2008,Parc,du,Zéphir,3812-000,0.22722291647798026,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Îlot de verdure
2009,,,,,0.24749283462496516,,,,En cours de validation,
2010,Parc,,Ménard,2464-000,1.6985678056989455,Ville de Montréal,LaSalle,Arrondissement,Parc d'arrondissement,Parc de quartier
2011,Square,de la,Sterne-Arctique,3790-000,0.08632417859350776,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Square
2012,Square,du,Solstice,3791-000,0.22728311683580665,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Square
2013,Parc,,Henri-Thomas-Scott,3815-000,1.186844189765639,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Parc de quartier
2014,,,,,0.3232008539942204,,,,En cours de validation,
2015,,,,,0.04972490454386294,,,,En cours de validation,
2016,,,,,0.13175740164890867,,,,En cours de validation,
2017,,,,,0.10268917170127886,,,,En cours de validation,
2018,,,,,0.0737315577995495,,,,En cours de validation,
2019,,,,,4.283932861372898,Ville de Montréal,Montréal-Nord,Arrondissement,Parc d'arrondissement,Bande riveraine
2020,,,,,0.03205968500073801,Ville de Montréal,Montréal-Nord,Arrondissement,Espace voirie,Îlot de voirie
2021,,,,,0.10077780626533774,,,,En cours de validation,
2022,,,,,0.08804052800010417,,,,En cours de validation,
2023,,,,,0.026924334956677006,Ville de Montréal,Montréal-Nord,Arrondissement,Espace voirie,Îlot de voirie
2024,,,,,0.14637494120706787,Ville de Montréal,Montréal-Nord,Arrondissement,Espace voirie,Bande gazonnée
2025,,,,,0.05105488934972896,,,,En cours de validation,
2026,,,,,0.07810287150033537,,,,En cours de validation,
2027,,,,,0.03608549762815605,,,,En cours de validation,
2028,,,,,0.029362069949670947,,,,En cours de validation,
2029,,,,,0.005976088349865842,,,,En cours de validation,
2030,,,,,0.13509860809898416,,,,En cours de validation,
2031,,,,,0.0368770515514733,,,,En cours de validation,
2032,,,,,0.07856124995037451,,,,En cours de validation,
2033,,,,,0.19723896255010337,,,,En cours de validation,
2034,,,,,0.011060353949742948,,,,En cours de validation,
2035,,,,,0.04252537154907414,,,,En cours de validation,
2036,,,,,0.017199287363946457,,,,En cours de validation,
2037,,,,,0.010892221550557217,,,,En cours de validation,
2038,,,,,0.014027548700318505,,,,En cours de validation,
2039,,,,,0.008594956149831069,,,,En cours de validation,
2040,,,,,0.01987612724996851,,,,En cours de validation,
2041,,,,,0.0024317891498777918,,,,En cours de validation,
2042,,,,,0.00684930919987724,,,,En cours de validation,
2043,,,,,0.0062198766001371015,,,,En cours de validation,
2044,,,,,0.026876325400549697,,,,En cours de validation,
2045,,,,,0.1010392356510443,,,,En cours de validation,
2046,,,,,0.06488542180140189,,,,En cours de validation,
2047,,,,,0.07944284410014625,,,,En cours de validation,
2048,,,,,0.06780783850123669,,,,En cours de validation,
2049,,,,,0.1195020985999104,,,,En cours de validation,
2050,,,,,0.04179611394956498,,,,En cours de validation,
2051,,,,,0.13584455103752835,,,,En cours de validation,
2052,,,,,0.12601954369760995,,,,En cours de validation,
2053,,,,,0.06478749360004049,,,,En cours de validation,
2054,,,,,0.0658992416004278,,,,En cours de validation,
2055,,,,,0.07884840697263051,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2056,,,,,0.062339498599209016,,,,En cours de validation,
2057,,,,,0.05169305715053595,,,,En cours de validation,
2058,,,,,0.11275302145362903,,,,En cours de validation,
2059,,,,,0.05988404970228512,,,,En cours de validation,
2060,,,,,0.041327822250353634,,,,En cours de validation,
2061,Boulevard,,Ville-Marie,0799-000,0.14834501766845742,Institutionnel,Autre,Gouvernement du Québec,Espace voirie,Bande gazonnée
2062,,,,,0.11125858884201183,,,,En cours de validation,
2063,,,,,0.6458860945052292,Ville de Montréal,LaSalle,Arrondissement,Parc d'arrondissement,Bande riveraine
2064,,,,,0.7018891835990594,Ville de Montréal,LaSalle,Arrondissement,Parc d'arrondissement,Bande riveraine
2065,,,,,0.00892121060046858,Ville de Montréal,LaSalle,Arrondissement,Espace voirie,Îlot de voirie
2066,,,,,0.005006956150480435,Ville de Montréal,LaSalle,Arrondissement,Espace voirie,Îlot de voirie
2067,,,,,0.11759896015236282,Ville de Montréal,LaSalle,Arrondissement,Espace voirie,Îlot de voirie
2068,,,,,0.03866590533853177,Ville de Montréal,LaSalle,Arrondissement,Espace voirie,Îlot de voirie
2069,,,,,0.03909627198528856,,,,En cours de validation,
2070,,,,,0.08783684433808417,,,,En cours de validation,
2071,,,,,0.052495083915658006,Ville de Montréal,Saint-Laurent,Arrondissement,Espace voirie,Passage
2072,,,,,0.2878257135461017,,,,En cours de validation,
2073,,,,,1.4872192301342908,,,,En cours de validation,
2074,,,,,0.8913522339845564,,,,En cours de validation,
2075,,,,,0.03484923708769219,,,,En cours de validation,
2076,,,,,0.019975044394352034,,,,En cours de validation,
2077,,,,,0.0357451565032158,,,,En cours de validation,
2078,Îlot,,François-Bricault,1641-320,0.20055789345020808,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
2079,,,,,0.46134024841459426,,,,En cours de validation,
2080,,,,,0.4655865674917831,,,,En cours de validation,
2081,,,,,1.2345867241120219,,,,En cours de validation,
2082,,,,,1.603714266713293,,,,En cours de validation,
2083,,,,,1.0075430491901,,,,En cours de validation,
2084,Parc,de l',Allée des Tanneries (nom non officiel),,0.22066410244846557,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc linéaire
2085,Parc,de l',Allée des Tanneries (nom non officiel),,0.5382342808907804,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc linéaire
2086,,,,,0.2050548448633269,,,,En cours de validation,
